# customer_ids,predictions,probability_ontime,probability_of_not_ontime
64090.0,1.0,0.5125000000000001,0.4875
60639.0,1.0,0.63510101010101,0.3648989898989899
117554.0,1.0,0.7243589743589743,0.2756410256410256
16518.0,2.0,0.4859868133009788,0.5140131866990212
7252.0,1.0,1.0,0.0
49721.0,1.0,1.0,0.0
119105.0,1.0,0.7349086099086098,0.2650913900913901
34849.0,1.0,0.8333333333333334,0.16666666666666666
105935.0,1.0,0.5484737484737484,0.45152625152625153
80453.0,2.0,0.22087719298245614,0.7791228070175439
52681.0,1.0,0.7371168875822368,0.26288311241776313
14589.0,1.0,1.0,0.0
49170.0,2.0,0.15896603396603395,0.8410339660339661
44650.0,2.0,0.16666666666666666,0.8333333333333334
159718.0,2.0,0.0,1.0
22634.0,2.0,0.14642857142857144,0.8535714285714285
96600.0,2.0,0.16666666666666666,0.8333333333333334
135818.0,2.0,0.19305555555555556,0.8069444444444444
71370.0,1.0,0.5259920634920635,0.47400793650793654
27068.0,2.0,0.22685185185185186,0.7731481481481483
109996.0,2.0,0.18611111111111112,0.813888888888889
159578.0,2.0,0.04882154882154882,0.9511784511784512
73008.0,1.0,1.0,0.0
107963.0,1.0,0.9166666666666666,0.08333333333333333
17212.0,1.0,1.0,0.0
31689.0,1.0,1.0,0.0
96249.0,1.0,1.0,0.0
16244.0,2.0,0.26666666666666666,0.7333333333333334
93722.0,1.0,0.9153554175293306,0.08464458247066942
156597.0,2.0,0.10606060606060606,0.8939393939393939
6399.0,2.0,0.21664495086962546,0.7833550491303746
20814.0,1.0,0.9060606060606061,0.09393939393939393
136126.0,2.0,0.023809523809523808,0.9761904761904763
121336.0,2.0,0.22936507936507936,0.7706349206349207
136939.0,1.0,1.0,0.0
672.0,1.0,1.0,0.0
11984.0,2.0,0.3333333333333333,0.6666666666666666
139053.0,2.0,0.3038450191606576,0.6961549808393422
122725.0,2.0,0.0,1.0
168053.0,2.0,0.3611111111111111,0.6388888888888888
121039.0,1.0,0.7777777777777777,0.2222222222222222
123193.0,1.0,1.0,0.0
99759.0,1.0,1.0,0.0
104254.0,2.0,0.3333333333333333,0.6666666666666666
127287.0,2.0,0.45384615384615384,0.5461538461538461
15447.0,1.0,1.0,0.0
145876.0,2.0,0.35714285714285715,0.6428571428571429
68516.0,2.0,0.35164835164835156,0.6483516483516484
44892.0,2.0,0.09603174603174602,0.903968253968254
60912.0,1.0,1.0,0.0
114383.0,1.0,0.5625,0.4375
76630.0,2.0,0.39986183407236037,0.6001381659276396
