id,age_range,bank_balance,customer_monthly_income,employment_type,isDueDateAllignedWithPayDate,loan_amount,marital_status,store_state,percentagePmtAboveIncome
366,26 to 35,63.36,8187.69,Regular Job,0,400,1,NV,0.00538491
367,56 to 65,61.69,3396.48,Regular Job,0,400,1,OK,0.13415359
368,66 to 75,607.7,2062,Self Employed,0,600,2,NM,0.04381183
369,46 to 55,102.63,705.77,Other,0,1000,2,NM,0.21903736
370,26 to 35,10.45,3211,Regular Job,0,500,2,NM,0.0162971
371,56 to 65,30.93,1268,Social Security,0,700,2,OK,0.11067035
372,36 to 45,415.89,5419,Self Employed,0,500,2,NM,0.01041521
373,66 to 75,15,1566.71,Retired / Pension,0,750,2,NM,0.08625719
374,36 to 45,2792.71,4485.84,Regular Job,0,1200,1,NM,0.04384463
375,16 to 25,30.61,2636,Regular Job,1,200,2,MS,0.09104704
376,36 to 45,1921.87,4334,Regular Job,1,500,2,OK,0.13051454
377,26 to 35,33.23,5321.6,Regular Job,0,1500,1,OK,0.05596625
378,36 to 45,230,2729.91,Regular Job,0,600,2,OK,0.04363514
379,46 to 55,1048.5,3723.84,Regular Job,0,205,2,MS,0.06606084
380,56 to 65,52.87,2428.64,Retired / Pension,0,400,1,NM,0.03805834
381,66 to 75,5.4,1624.5,Social Security,1,500,2,MI,0.34817482
382,46 to 55,102.58,2902.96,Regular Job,0,550,2,NM,0.02224626
383,46 to 55,98.28,3537.52,Regular Job,1,500,2,OK,0.15987471
384,16 to 25,454.2,5430.4,Regular Job,1,300,2,ID,0.01504862
385,75 and above,86.84,863.49,Retired / Pension,0,200,2,NM,0.05209093
386,36 to 45,1077.3,5281.2,Self Employed,0,400,1,ID,0.00681853
387,46 to 55,1070.06,5397.8,Regular Job,0,500,2,NM,0.00969469
388,66 to 75,502.62,1181,Social Security,0,300,2,NM,0.06240474
389,66 to 75,105.6,728,Social Security,0,400,2,NM,0.13535714
390,66 to 75,3.23,1805.1,Retired / Pension,0,500,2,NV,0.06056174
391,46 to 55,918.49,7619.01,Regular Job,0,1500,1,NM,0.0279892
392,36 to 45,41.08,9097.64,Regular Job,0,850,2,OK,0.01873013
393,26 to 35,884.6,4742.48,Regular Job,0,750,2,NM,0.02845979
394,46 to 55,61.73,783,Social Security,0,600,2,OK,0.1536143
395,36 to 45,2090.56,3256.76,Regular Job,0,450,2,OK,0.02962453
396,56 to 65,5739.83,2812.2,Regular Job,1,700,2,NM,0.02371809
397,66 to 75,30.15,1222,Social Security,1,189.72,2,ID,0.04225041
398,56 to 65,998.47,5593.96,Regular Job,0,750,2,NM,0.01041302
399,46 to 55,15.91,996,Social Security,0,450,1,OK,0.09686747
400,56 to 65,323.94,3392.08,Regular Job,1,200,2,NM,0.00787128
401,16 to 25,412.62,2686,Regular Job,0,400,2,NV,0.01642219
402,36 to 45,3.12,3808.44,Regular Job,0,900,2,NM,0.01767128
403,36 to 45,509.13,2377.52,Regular Job,1,200,2,AL,0.09884249
404,36 to 45,147.76,4112.8,Self Employed,0,1100,1,ID,0.0278156
405,75 and above,4,614,Social Security,0,100,2,AL,0.19136808
406,36 to 45,1050.78,3263.04,Regular Job,0,1300,2,NM,0.0291017
407,36 to 45,515.28,4000,Regular Job,1,125,2,AL,0.0367175
408,66 to 75,2549.27,1834.8,Regular Job,0,600,1,NM,0.03890887
409,46 to 55,3.65,1439.4,Regular Job,1,1000,2,ID,0.0640892
410,46 to 55,21.84,5815.44,Regular Job,0,1000,2,OK,0.03447203
411,26 to 35,191.39,3967.36,Regular Job,0,200,1,NM,0.01631059
412,46 to 55,166.84,7733.36,Regular Job,0,1500,2,NV,0.0152521
413,36 to 45,168.34,5454.28,Regular Job,0,1000,2,NM,0.03017447
414,36 to 45,442.08,4063,Regular Job,0,1600,2,NM,0.02866601
415,66 to 75,6,1449,Social Security,1,500,1,OK,0.39037267
416,66 to 75,30.36,1369,Retired / Pension,0,700,2,OK,0.14246165
417,26 to 35,188.91,5256.68,Regular Job,1,500,1,OK,0.10760594
418,46 to 55,294.9,3221.97,Retired / Pension,0,960,2,NM,0.04588497
419,46 to 55,1244.45,835,Social Security,1,275,2,OK,0.37941317
420,36 to 45,149,1894,Regular Job,0,1050,2,NM,0.0417793
421,75 and above,72.05,2304,Retired / Pension,0,410,2,MS,0.21701389
422,26 to 35,1913.27,4814.72,Regular Job,0,1000,1,ID,0.02160043
423,56 to 65,1512.02,3200,Regular Job,0,1000,2,AL,0.04441563
424,66 to 75,174.19,1135,Social Security,0,750,2,NM,0.10682819
425,66 to 75,578.66,938,Social Security,0,750,2,NM,0.12710021
426,46 to 55,372.54,8295,Regular Job,1,250,2,AL,0.0354129
427,66 to 75,1312.46,3007.56,Retired / Pension,0,1650,2,NM,0.09008632
428,66 to 75,467.3,1795.8,Regular Job,0,500,1,OK,0.31493485
429,16 to 25,28.09,3000,Regular Job,0,100,3,AL,0.03916667
430,36 to 45,12.68,5568.2,Regular Job,0,350,2,AL,0.0738569
431,46 to 55,1.56,794,Social Security,0,200,2,NM,0.08149874
432,36 to 45,26.04,3643.36,Regular Job,0,500,2,NM,0.03371339
433,66 to 75,35.65,2018.4,Retired / Pension,0,2000,2,NM,0.1127279
434,46 to 55,918.49,7619.01,Regular Job,0,1500,1,NM,0.03244254
435,56 to 65,209.54,1159.65,Retired / Pension,0,300,2,NM,0.06375199
436,66 to 75,46.19,1521.83,Retired / Pension,0,1000,2,NM,0.10814611
437,56 to 65,97.63,599,Social Security,0,500,2,NM,0.20477462
438,56 to 65,829.56,783,Social Security,0,400,2,NM,0.12550447
439,66 to 75,1009.93,654,Social Security,0,500,2,NM,0.13957187
440,36 to 45,905.26,6299.96,Self Employed,0,1000,3,NV,0.01406199
441,36 to 45,947.55,6560,Regular Job,0,300,1,OK,0.01667073
442,66 to 75,119.52,1654.01,Other,0,1000,2,NM,0.08557385
443,46 to 55,27.69,3387.4,Regular Job,1,550,1,NM,0.01768908
444,66 to 75,25.39,1199,Social Security,0,300,1,NV,0.05638866
445,26 to 35,0.57,4600.12,Self Employed,0,300,2,NM,0.01037799
446,56 to 65,546.98,7104,Regular Job,0,600,1,OK,0.01676943
447,56 to 65,422.51,1770.28,Regular Job,0,1000,1,NV,0
448,66 to 75,982,1084,Social Security,0,500,2,NV,0.10067343
449,56 to 65,41.5,8374.59,Regular Job,0,1700,1,NM,0.0075132
450,46 to 55,768.41,4949.72,Regular Job,0,500,1,OK,0.11427919
451,75 and above,2430.63,1045,Social Security,0,300,2,NV,0.07042105
452,26 to 35,95.37,6956.84,Regular Job,0,500,2,NM,0.0079562
453,46 to 55,567,867,Social Security,0,400,2,MI,0.52434833
454,66 to 75,56.29,1114,Social Security,0,300,3,NM,0.04445242
455,36 to 45,34.95,2924.96,Regular Job,0,575,2,NM,0.01908402
456,75 and above,360.82,1602,Social Security,0,1000,2,NV,0.12194757
457,46 to 55,449.4,5137.92,Regular Job,0,200,2,NM,0.01289822
458,16 to 25,0.15,5898.48,Regular Job,0,300,2,ID,0.00318557
459,75 and above,179.21,947,Social Security,1,500,2,OK,0.59730729
460,36 to 45,838.81,9968.8,Self Employed,0,1400,2,NM,0.01126314
461,46 to 55,112.2,3074.64,Regular Job,0,750,1,NM,0.01894531
462,56 to 65,36.25,7089.36,Regular Job,0,1700,2,NM,0.0179311
463,56 to 65,999.9,9939.52,Self Employed,0,1400,2,NV,0.0183359
464,56 to 65,1760,4885.58,Regular Job,0,750,2,NV,0.03203714
465,46 to 55,4.53,794,Social Security,1,400,1,AL,0.59193955
466,56 to 65,79.78,5148.08,Regular Job,0,1500,2,NM,0.0226298
467,46 to 55,796.86,2624.34,Social Security,0,300,2,LA,0.13527211
468,36 to 45,97.53,2564.08,Self Employed,1,400,2,NM,0.01775296
469,46 to 55,104.16,3406.04,Social Security,0,1000,1,OK,0.05885721
470,56 to 65,105.53,783,Social Security,0,200,2,NM,0.06214559
471,66 to 75,1064.44,796,Retired / Pension,0,200,1,NM,0.06172111
472,46 to 55,221.06,2137.34,Regular Job,0,900,1,OK,0.08441334
473,36 to 45,905.26,6299.96,Self Employed,1,1250,3,NV,0.01803821
474,26 to 35,84.62,3955.8,Regular Job,0,200,2,OK,0.0139997
475,56 to 65,16.85,1467,Social Security,0,900,1,OK,0.09338787
476,75 and above,28.97,727,Social Security,0,1000,2,NM,0.2266575
477,36 to 45,857.7,3800,Self Employed,0,1400,2,ID,0.03341053
478,66 to 75,45.79,743,Social Security,0,750,2,NM,0.18188425
479,66 to 75,3511.94,880,Regular Job,0,200,2,NM,0.07353409
480,26 to 35,112.17,5588.76,Regular Job,1,300,2,MI,0.0613034
481,66 to 75,14.4,1044.14,Social Security,0,1500,2,OK,0.2879882
482,36 to 45,687.11,4486.92,Self Employed,1,800,2,NM,0.01561873
483,56 to 65,186.02,5233.04,Regular Job,0,1500,1,NV,0.02564093
484,66 to 75,5.7,1311,Social Security,0,250,2,ID,0.05064836
485,26 to 35,1131.48,4648.48,Regular Job,0,75,2,OK,0.01869428
486,26 to 35,80.23,1639.52,Regular Job,0,200,1,OK,0.04426296
487,36 to 45,178.47,4068,Self Employed,1,300,2,ID,0.00960177
488,46 to 55,3724.89,8760.56,Regular Job,1,1200,2,NM,0.01000507
489,26 to 35,147.26,836,Social Security,0,200,2,NM,0.05876794
490,56 to 65,11.46,9160,Regular Job,1,700,1,NV,0.00954476
491,26 to 35,0.5,2856.2,Self Employed,1,750,1,NM,0.02309362
492,66 to 75,196.08,6051.76,Regular Job,0,150,2,MI,0.02852228
493,66 to 75,20.72,1935,Social Security,0,500,1,NV,0.05658398
494,46 to 55,148.32,878,Social Security,0,500,2,NM,0.12643508
495,66 to 75,1958.23,2636.31,Retired / Pension,1,2000,2,NM,0.08630624
496,36 to 45,213.61,4075.52,Regular Job,1,300,2,NM,0.00527049
497,36 to 45,34.95,2924.96,Regular Job,1,700,2,NM,0.02113191
498,26 to 35,1.78,2265.76,Regular Job,0,400,2,NM,0.04336735
499,56 to 65,347.82,692,Social Security,0,400,2,NM,0.14219653
500,56 to 65,2248.26,3587.4,Regular Job,0,1800,2,NM,0.0366505
501,66 to 75,357.34,1396,Social Security,0,750,1,NM,0.0868553
502,46 to 55,500,1596.48,Regular Job,0,750,2,NM,0.03648652
503,36 to 45,136.28,4493.04,Regular Job,0,300,1,MI,0.07625349
504,26 to 35,977.69,2908.12,Self Employed,0,600,2,NM,0.01542921
505,36 to 45,21.67,8439.24,Regular Job,0,1600,1,NM,0.03099924
506,75 and above,39.36,1267,Social Security,0,500,2,OK,0.44637727
507,66 to 75,17.99,2787.36,Retired / Pension,0,700,2,OK,0.05390046
508,56 to 65,16.79,2621.96,Regular Job,0,750,2,NM,0.05161025
509,56 to 65,8.65,3818.2,Regular Job,0,700,2,NM,0.01370803
510,46 to 55,1.21,3432.04,Regular Job,1,500,1,NM,0.01504062
511,36 to 45,5,8400,Regular Job,0,1500,2,OK,0.02335714
512,46 to 55,4246.18,2734.4,Regular Job,0,300,2,NV,0.01356056
513,66 to 75,201.49,1062,Social Security,0,800,2,ID,0.16456685
514,26 to 35,149.91,4400,Regular Job,0,1500,2,ID,0.02961136
515,16 to 25,1006.75,8957.97,Regular Job,0,600,2,NM,0.01649258
516,26 to 35,1846.61,6532,Regular Job,0,1000,2,OK,0.03069045
517,26 to 35,2.42,1082.5,Regular Job,0,700,2,OK,0.1296351
518,36 to 45,367.55,1366.2,Regular Job,0,500,2,NV,0.04619382
519,75 and above,4.33,1518,Social Security,0,600,1,OK,0.07922266
520,46 to 55,1032.12,4040.44,Regular Job,0,741.32,1,NM,0.02445031
521,66 to 75,752.13,785,Social Security,1,200,1,OK,0.29370701
522,56 to 65,15.51,794,Social Security,1,500,2,NM,0.12418136
523,56 to 65,234.65,4004.52,Regular Job,0,1000,2,NM,0.0193831
524,66 to 75,752.13,785,Social Security,0,150,1,OK,0.22057325
525,66 to 75,19524.38,2502.02,Retired / Pension,0,600,1,NM,0.0431931
526,36 to 45,203.25,1250.85,Regular Job,0,1100,1,ID,0.14627653
527,66 to 75,1381.8,8400,Self Employed,0,1250,2,NV,0.01331548
528,75 and above,21.38,1035,Social Security,0,400,2,NV,0.08927536
529,36 to 45,4.3,1211.5,Social Security,0,500,1,OK,0.081948
530,56 to 65,999.9,9939.52,Self Employed,0,1300,2,NV,0.04010053
531,26 to 35,5.76,6726.92,Regular Job,0,700,1,OK,0.02086096
532,46 to 55,754.7,5811.84,Regular Job,0,600,2,OK,0.02049781
533,66 to 75,943,1813,Social Security,0,300,2,NM,0.02536128
534,26 to 35,199.06,4376.48,Regular Job,1,200,1,NV,0.00610765
535,26 to 35,231.68,2233.24,Regular Job,0,300,2,OK,0.03742992
536,46 to 55,4.06,1887.18,Other,1,600,2,NM,0.02538179
537,66 to 75,163.95,711,Social Security,0,750,2,NM,0.19012658
538,66 to 75,33.77,597,Social Security,0,1500,3,NM,0.41353434
539,56 to 65,68.64,1436,Social Security,1,600,2,MI,0.47109331
540,56 to 65,1.53,783,Social Security,0,150,1,OK,0.05338442
541,26 to 35,13.2,1251.8,Regular Job,0,500,1,OK,0.0856926
542,36 to 45,581.15,3948,Regular Job,1,500,1,OK,0.14327508
543,56 to 65,247.61,3400,Regular Job,0,1000,2,NM,0.04840588
544,36 to 45,544.32,1525.36,Regular Job,0,300,2,OK,0.05480018
545,66 to 75,1266.25,734,Social Security,0,400,2,NM,0.10677112
546,66 to 75,2.22,899,Social Security,1,400,2,MI,0.50555061
547,56 to 65,90.8,2654,Social Security,0,500,2,OK,0.08526375
548,75 and above,28.57,662,Social Security,0,1000,2,NM,0.24891239
549,26 to 35,0.38,783,Social Security,0,200,2,MS,0.30651341
550,26 to 35,55.04,4398.68,Regular Job,0,700,2,ID,0.01494767
551,46 to 55,11005.25,7200,Regular Job,1,300,2,LA,0.04930556
552,36 to 45,2.16,4800,Self Employed,0,1305.85,2,ID,0.02505208
553,66 to 75,2226.7,3062.67,Retired / Pension,0,750,2,NM,0.03958964
554,26 to 35,6.44,2532.28,Regular Job,0,200,1,ID,0.01072946
555,66 to 75,33.77,597,Social Security,0,500,3,NM,0.1718258
556,46 to 55,1.4,1225,Social Security,0,200,1,MS,0.19591837
557,66 to 75,3257.56,3668.87,Retired / Pension,0,700,1,NM,0.03372428
558,26 to 35,5.52,2263.76,Regular Job,0,900,1,NM,0.06521893
559,46 to 55,87.31,1307,Social Security,0,1300,1,OK,0.19749044
560,36 to 45,38.71,4188.36,Regular Job,0,600,3,OK,0.02871768
561,46 to 55,77.23,3279.24,Regular Job,1,600,2,NM,0.02177029
562,26 to 35,97.06,4341.08,Regular Job,1,350,1,OK,0.0922927
563,66 to 75,168.89,1087,Social Security,0,800,1,OK,0.1475437
564,36 to 45,14.46,3228,Regular Job,0,1200,2,OK,0.07381041
565,66 to 75,168.89,1193,Social Security,1,500,1,OK,0.47414082
566,56 to 65,296.09,5907.2,Regular Job,0,2000,2,NV,0.02685367
567,46 to 55,831.42,8705.26,Regular Job,0,600,2,OK,0.01381693
568,46 to 55,193.75,783,Social Security,1,300,2,LA,0.45338442
569,66 to 75,810.13,982,Social Security,0,750,2,NM,0.12347251
570,26 to 35,5.52,2263.76,Regular Job,0,700,1,NM,0.02536488
571,46 to 55,574.55,4883.92,Self Employed,0,300,2,NM,0.00791577
572,75 and above,595.51,1432,Social Security,1,600,2,MI,0.47240922
573,36 to 45,43.79,1349,Social Security,0,200,3,NV,0.03976279
574,26 to 35,434.75,3613.96,Self Employed,0,1211.15,2,ID,0.03001417
575,36 to 45,415.89,5419,Self Employed,0,1000,2,NM,0.01393061
576,56 to 65,56.25,3400,Regular Job,0,800,2,DE,0.02154412
577,36 to 45,103.35,8995.56,Regular Job,0,400,2,NM,0.00544824
578,46 to 55,77.23,3279.24,Regular Job,0,600,2,NM,0.02116344
579,75 and above,789.18,794,Social Security,0,500,2,NM,0.15469773
580,16 to 25,343.72,1206.16,Regular Job,1,85,2,AL,0.08279996
581,36 to 45,58.52,1376.6,Regular Job,0,600,2,MI,0.49150806
582,26 to 35,190.8,3857.4,Regular Job,0,500,2,NM,0.01029968
583,66 to 75,1.02,1682.72,Retired / Pension,0,300,2,NM,0.04334649
584,36 to 45,4677.49,4567.2,Self Employed,0,550,2,ID,0.01519968
585,26 to 35,0.03,3872.16,Regular Job,0,200,2,MS,0.06198091
586,46 to 55,453.4,4065.04,Regular Job,1,200,1,MS,0.05904001
587,56 to 65,1.45,1135,Social Security,0,750,2,NM,0.10682819
588,26 to 35,480.92,2574.4,Regular Job,0,200,2,NM,0.00917495
589,56 to 65,723.46,920.66,Regular Job,0,200,2,NM,0.04996416
590,46 to 55,5.26,924,Social Security,0,1000,2,NM,0.1658658
591,56 to 65,105.41,7667.56,Regular Job,0,1000,2,NV,0.02510577
592,66 to 75,0.7,1219,Social Security,0,750,2,NV,0.12627564
593,16 to 25,681.65,3118.4,Regular Job,0,200,2,NM,0.00518856
594,66 to 75,401.93,2017.96,Retired / Pension,0,1000,1,NV,0.08787587
595,56 to 65,4.5,798,Social Security,0,1500,1,NM,0.29408521
596,75 and above,164,365.01,Retired / Pension,0,400,2,NM,0.25322594
597,75 and above,6.38,1172,Social Security,0,300,2,NM,0.06154437
598,66 to 75,56.29,1114,Social Security,0,300,3,NM,0.04603232
599,36 to 45,345.96,6923.08,Regular Job,0,700,2,NV,0.01024111
600,36 to 45,129.75,2286.6,Regular Job,0,200,2,NM,0.02148605
601,56 to 65,175.83,5684.88,Regular Job,1,500,2,OK,0.09950078
602,56 to 65,1545.59,1200,Other,0,300,1,OK,0.06965833
603,56 to 65,9.74,1486,Social Security,0,1000,2,NM,0.1107537
604,26 to 35,383.7,3067.16,Regular Job,1,400,2,MI,0.14821855
605,66 to 75,9.42,2458,Social Security,0,500,1,OK,0.0518633
606,66 to 75,1.73,1309,Social Security,0,1500,2,NM,0.18860199
607,66 to 75,766.5,1316,Social Security,0,1100,1,OK,0.11132219
608,66 to 75,1.6,1543,Social Security,0,500,1,NV,0.07084251
609,36 to 45,2.35,3120,Regular Job,1,500,1,AL,0.18830128
610,66 to 75,680.33,1674.83,Social Security,0,1000,1,NM,0.09826669
611,36 to 45,17.86,2530.72,Regular Job,0,700,2,NM,0.02480717
612,36 to 45,12.68,5568.2,Regular Job,0,350,2,AL,0.0738569
613,26 to 35,257.67,8481.27,Regular Job,0,200,2,NM,0.00236521
614,36 to 45,0.39,783,Social Security,0,300,2,NM,0.06103448
615,56 to 65,35.06,794,Social Security,0,750,2,NM,0.15270781
616,26 to 35,682.15,7859.25,Regular Job,0,325,2,MI,0.0471559
617,26 to 35,646.86,3218.76,Regular Job,0,200,2,NM,0.02061663
618,26 to 35,1884.06,3055.52,Regular Job,0,1000,2,NM,0.05393517
619,66 to 75,6.51,618.66,Regular Job,0,500,1,NM,0.1988168
620,66 to 75,257.7,1092,Retired / Pension,0,410,1,MS,0.45787546
621,26 to 35,0.61,3061.76,Regular Job,0,750,2,NM,0.01902501
622,56 to 65,1615.64,4501.32,Regular Job,0,1000,2,NM,0.01725494
623,56 to 65,305.82,4514.28,Regular Job,0,500,1,OK,0.03066934
624,66 to 75,16.32,755,Social Security,1,250,2,OK,0.38153642
625,36 to 45,2095.95,5706.28,Regular Job,0,1000,1,NV,0.03368394
626,36 to 45,114.06,7238.28,Regular Job,1,450,1,ID,0.00809308
627,75 and above,1372.84,1001.6,Social Security,0,800,1,NM,0.12778554
628,46 to 55,546.89,4355.23,Regular Job,0,400,1,OK,0.01954661
629,36 to 45,1.18,795,Social Security,0,450,2,OK,0.12150943
630,46 to 55,732.58,5880,Regular Job,0,500,2,NM,0.00889966
631,46 to 55,620.99,7130.32,Regular Job,1,400,3,NM,0.00660419
632,46 to 55,786.35,3054.72,Regular Job,0,1000,1,OK,0.06562631
633,56 to 65,19.25,1964.8,Regular Job,0,1000,2,NM,0.03949511
634,36 to 45,726.48,5054.48,Regular Job,0,2000,1,NM,0.02466327
635,36 to 45,442.08,4063,Regular Job,0,900,2,NM,0.02550825
636,46 to 55,1097.62,4400,Regular Job,0,900,2,OK,0.04100455
637,75 and above,1692.96,1377,Social Security,1,125,3,MS,0.10893246
638,46 to 55,221.06,2137.34,Regular Job,0,1000,1,OK,0.09289584
639,75 and above,197.95,1096.96,Retired / Pension,0,750,1,NM,0.10857278
640,66 to 75,607.7,2062,Self Employed,0,700,2,NM,0.05333657
641,46 to 55,15.91,996,Social Security,0,900,1,OK,0.17941767
642,36 to 45,195.17,2912.68,Regular Job,0,400,1,NV,0.01266874
643,75 and above,134.07,1249.9,Social Security,0,1000,1,NV,0.1537803
644,26 to 35,935,2983.72,Regular Job,0,200,1,MS,0.0804365
645,36 to 45,2792.71,4485.84,Regular Job,0,800,1,NM,0.01313021
646,66 to 75,0.68,1619,Social Security,0,300,2,AL,0.21772699
647,36 to 45,1282.3,5641.52,Regular Job,0,400,2,OK,0.01685361
648,56 to 65,3.45,1121,Social Security,0,750,1,NM,0.10635147
649,36 to 45,351.39,3697.91,Regular Job,0,950,2,ID,0.05451999
650,75 and above,8.42,772,Social Security,0,600,2,NM,0.14775907
651,66 to 75,2836.69,1730,Social Security,0,500,1,OK,0.0579422
652,66 to 75,323.78,4053.34,Retired / Pension,0,800,2,NM,0.03231656
653,26 to 35,309.07,9450,Regular Job,0,200,2,AL,0.02486772
654,36 to 45,80.66,3757.88,Self Employed,0,1500,1,NM,0.03100152
655,66 to 75,741.03,3279.66,Retired / Pension,0,1200,2,NM,0.0649549
656,46 to 55,126.56,2300.64,Regular Job,1,750,2,NM,0.02531904
657,46 to 55,47.53,4877.08,Self Employed,1,300,1,ID,0.00800889
658,36 to 45,2.06,2107,Regular Job,0,400,2,OK,0.21625534
659,46 to 55,64.25,473.74,Regular Job,0,1000,2,NM,0.34740575
660,36 to 45,10.26,2288.12,Regular Job,0,1100,2,OK,0.06538119
661,36 to 45,4.36,6533.48,Regular Job,1,500,2,AL,0.08992145
662,46 to 55,3.65,1439.4,Regular Job,0,600,2,ID,0.04599139
663,75 and above,47116.33,779,Social Security,0,300,2,NM,0.10323492
664,46 to 55,56.05,2780.52,Regular Job,1,700,1,NM,0.04278696
665,36 to 45,88.78,7640.56,Self Employed,0,1000,1,NV,0.0115947
666,75 and above,5018.67,2779.89,Retired / Pension,0,1500,1,NM,0.07669008
667,46 to 55,140.46,3428.28,Regular Job,0,600,2,OK,0.03756986
668,56 to 65,644.55,3633.04,Regular Job,1,800,2,NM,0.02095215
669,56 to 65,194.63,5520.88,Regular Job,0,1000,1,NV,0.01604635
670,36 to 45,519,2597.25,Regular Job,1,500,2,OK,0.21778805
671,46 to 55,709.14,5243.76,Regular Job,0,250,1,NM,0.00536066
672,56 to 65,0.25,711,Social Security,1,300,2,LA,0.49929677
673,46 to 55,92.92,2499.92,Regular Job,0,300,1,LA,0.14200454
674,66 to 75,25.39,1199,Social Security,0,750,1,NV,0.13054212
675,46 to 55,61.73,783,Social Security,0,600,2,OK,0.1536143
676,56 to 65,103.34,9768.92,Regular Job,0,750,2,NV,0.01599665
677,66 to 75,56.29,1114,Social Security,0,300,3,NM,0.04409336
678,46 to 55,166.84,7733.36,Regular Job,0,1250,2,NV,0.01447624
679,75 and above,277.65,2746,Social Security,0,300,1,OK,0.0398252
680,66 to 75,1069.04,5888,Regular Job,0,1000,2,ID,0.01682914
681,36 to 45,26.25,2243.84,Regular Job,0,350,2,DE,0.0209596
682,26 to 35,297.76,4813.76,Regular Job,0,300,1,OK,0.01725678
683,36 to 45,1610.22,4832.96,Regular Job,0,500,1,NM,0.01242924
684,75 and above,66.71,1319,Social Security,0,400,2,OK,0.06454132
685,46 to 55,1843.54,5899.6,Regular Job,0,400,2,NM,0.00809207
686,36 to 45,178.47,4068,Self Employed,0,1000,2,ID,0.02195919
687,66 to 75,16.22,648,Social Security,0,300,2,NM,0.1296142
688,56 to 65,5.44,958,Social Security,0,300,2,NM,0.0640501
689,36 to 45,905.26,6299.96,Self Employed,0,1000,3,NV,0.01425565
690,46 to 55,3.21,794,Social Security,0,1500,2,NM,0.24395466
691,36 to 45,6.02,1175,Social Security,0,600,2,OK,0.10138723
692,26 to 35,331.82,6240,Regular Job,0,300,2,LA,0.05689103
693,46 to 55,1.7,1298,Social Security,0,200,2,NM,0.02421418
694,66 to 75,434.38,957,Social Security,0,500,2,NM,0.1285162
695,46 to 55,1070.06,5397.8,Regular Job,0,900,2,NM,0.0130405
696,46 to 55,574.55,4883.92,Self Employed,0,300,2,NM,0.00830685
697,56 to 65,105.41,7667.56,Regular Job,0,1250,2,NV,0.01500477
698,36 to 45,258.04,3443.64,Regular Job,0,200,2,NM,0.00775342
699,66 to 75,365.04,6490.76,Self Employed,0,750,1,NV,0.01146399
700,66 to 75,92.86,1708,Retired / Pension,0,1500,1,OK,0.11487119
701,56 to 65,11.46,9160,Regular Job,0,800,1,NV,0.01096616
702,46 to 55,7.9,1600,Regular Job,0,300,1,LA,0.221875
703,36 to 45,1212.23,4755.72,Self Employed,0,600,2,NM,0.00984078
704,26 to 35,0.61,3061.76,Regular Job,0,750,2,NM,0.01902501
705,56 to 65,1975.27,1205,Social Security,1,500,2,OK,0.4693444
706,26 to 35,578.01,8414.44,Regular Job,0,1100,2,NM,0.02150945
707,46 to 55,1.21,3432.04,Regular Job,0,500,1,NM,0.01521835
708,66 to 75,449.67,5020.6,Self Employed,0,400,2,NM,0.00935546
709,36 to 45,0.76,714,Social Security,0,300,2,OK,0.11634454
710,66 to 75,42.12,1136,Social Security,1,1000,2,NM,0.14487676
711,46 to 55,1843.54,5899.6,Regular Job,0,400,2,NM,0.01665537
712,66 to 75,578.66,938,Social Security,0,1000,2,NM,0.17569296
713,56 to 65,432.76,1388,Social Security,1,450,2,ID,0.07242795
714,36 to 45,149,1894,Regular Job,0,600,2,NM,0.03719641
715,26 to 35,0.12,1130.79,Self Employed,0,300,2,ID,0.05160109
716,36 to 45,147.76,4112.8,Self Employed,0,970.29,1,ID,0.02193396
717,46 to 55,918.49,7619.01,Regular Job,1,1500,1,NM,0.03240316
718,36 to 45,2805.93,9450,Regular Job,0,100,2,AL,0.01243386
719,66 to 75,1597.82,4352,Regular Job,0,1400,2,NM,0.02603401
720,46 to 55,387.36,7282.04,Regular Job,0,800,1,OK,0.02181257
721,36 to 45,1428.46,7388,Self Employed,1,400,2,NM,0.0063752
722,56 to 65,427.33,6000,Regular Job,0,200,1,MS,0.04
723,66 to 75,1498.31,2161.88,Regular Job,1,1000,2,NV,0.04097822
724,56 to 65,822.07,3444,Regular Job,0,950,2,ID,0.0256475
725,75 and above,4.51,1338,Social Security,0,500,1,NV,0.0972571
726,26 to 35,84.71,5836.12,Regular Job,0,750,2,NM,0.01503225
727,46 to 55,1.89,1544,Retired / Pension,0,750,1,NM,0.07852979
728,56 to 65,103.34,9768.92,Regular Job,0,750,2,NV,0.01599358
729,26 to 35,83.7,3723.56,Regular Job,0,500,2,OK,0.15191107
730,75 and above,789.18,794,Social Security,0,500,2,NM,0.15517632
731,66 to 75,2151.12,4963.14,Retired / Pension,0,300,2,NM,0.01694693
732,56 to 65,230,1135,Social Security,0,450,2,ID,0.10864317
733,16 to 25,564.02,8226.16,Regular Job,0,600,2,NM,0.00623742
734,56 to 65,217.09,808,Social Security,0,200,2,NM,0.08201733
735,56 to 65,31.5,3040.56,Regular Job,0,1000,2,NV,0.06331071
736,26 to 35,49.77,7606.32,Regular Job,0,600,2,NV,0.00802491
737,36 to 45,1050.78,3263.04,Regular Job,0,1100,2,NM,0.02520656
738,66 to 75,3561.22,3399.86,Retired / Pension,0,500,2,NM,0.03742507
739,56 to 65,60.46,3693.08,Regular Job,0,1000,3,NM,0.0207767
740,66 to 75,3309.93,3264.7,Retired / Pension,0,1500,1,NM,0.07562104
